formula,expt_form_e,uncertainty,phaseinfo,reference,likely_mpid
Ag2CO3,-0.8737079320229012,0.004318445690109239,cryst,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-4691
Ag2O,-0.10744292876991786,0.0020728539312524345,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-353
Ag2O3,0.07026974826945753,,cryst,Standard Thermodynamic Properties of Chemical Substances (CRC Press),mp-546190
Ag2S,-0.10986125835637904,0.002763805241669913,monocl,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-610517
Ag2SO4,-1.061745395786515,0.001924792936162975,orth,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-5625
Ag2Se,-0.15028191001580152,0.002763805241669913,orth,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-568936
Ag2Te,-0.12437123587514609,0.0020728539312524345,orth,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-1592
Ag2WO4,-1.3703045095529487,0.03346178489021788,cryst,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-637188
AgBr,-0.5218409771928004,0.00414570786250487,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-23231
AgBrO3,-0.05472334378506427,,tetrag,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",
AgCl,-0.658131123172648,,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-22922
AgF,-1.0670015611121908,0.01969211234689813,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-7592
AgI,-0.32077414586131425,0.002072853931252435,alpha,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-22925
AgNO3,-0.2580703144409281,0.002072853931252435,orth,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-552185
AgO,-0.0629629381617927,,cryst,Standard Thermodynamic Properties of Chemical Substances (CRC Press),mp-499
Al2(SO4)3,-2.0980330098879425,0.0012802921340088567,hex,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-4417
Al2S3,-1.3494900948632726,,cr,https://janaf.nist.gov/tables/Al-105.html,mp-684638
Al2Se3,-1.1751008936270053,0.05202863367443612,hex,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-11674
Al2SiO5,-3.3547845343613623,0.0027206207847688207,kyanit,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-5065
Al2Te3,-0.6608258332832763,0.0190702561675224,hex,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-29502
Al4B2O9,-3.2410453117752653,0.0046293737797971045,orth,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",
Al4C3,-0.319345357258701,,cr,https://janaf.nist.gov/tables/C-139.html,mp-1591
AlAs,-0.6026822805116454,0.032647449417225846,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-2172
AlBr3,-1.3247739028005014,,cr,https://janaf.nist.gov/tables/Al-010.html,mp-23288
AlCl3,-1.8282571673646475,0.004404814603911423,monocl,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-25469
AlClO,-2.740610006179198,,cr,https://janaf.nist.gov/tables/Al-019.html,mp-27863
AlF3,-3.913548222204597,0.0033683876382852064,hex,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-468
AlFe,-0.2601431683721806,,cryst,"K. Rzyman, Enthalpies of formation of AlFe: Experiment versus theory, Calphad. 24 (2000) 309-318.",mp-2658
AlH3,-0.029538168520347196,0.002072853931252435,hex,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-1106356
AlI3,-0.7848913232035626,,cr,https://janaf.nist.gov/tables/Al-064.html,mp-30930
AlN,-1.6478359611884354,,cr,https://janaf.nist.gov/tables/Al-071.html,mp-661
AlP,-0.8519429657447507,0.012955337070327717,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-1550
AlPO4,-2.9935465523837244,0.003627494379691761,hex,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-7848
AlSb,-0.2601431683721806,0.005182134828131087,cubic,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-2624
As2O3,-1.3801061474278709,0.004352993255630113,monocl,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-1581
As2O5,-1.362309215818118,0.007403049754472981,cryst,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-555434
As2S3,-0.34699574809165756,0.03461666065191566,monocl,"O. Kubaschewski, C. Alcock, P. Spencer, Materials Thermochemistry, 6th ed., Oxford, Pergamom Press, 1993.",mp-641
